External ID	Inherited View	Model	Sequence	View Name	View Type	Controller Page	Controller Page/Can Publish	Controller Page/Domain	Controller Page/Listing view	Controller Page/Sequence	Controller Page/The name is used to generate the URL and is shown in the browser title bar	Controller Page/View inheritance mode	Groups
crm.res_config_settings_view_form	res.config.settings.view.form	res.config.settings	5	res.config.settings.view.form.inherit.crm	Form
account_followup.res_partner_view_form	res.partner.form	res.partner	5	res.partner.view.form	Form
stock.view_stock_quant_tree_editable		stock.quant	5	stock.quant.list.editable	List
documents.documents_upload_url_view		documents.document	5	upload url	Form
base.view_partner_category_list		res.partner.category	6	Contact Tags	List
base.res_partner_industry_view_tree		res.partner.industry	6	Industry	List
documents.documents_request_form_view		documents.request_wizard	6	Request File	Form
stock.view_move_tree_receipt_picking		stock.move	6	stock.move.tree2	List
product.product_normal_form_view	product.template.common.form	product.product	7	product.product.form	Form
product.product_product_tree_view		product.product	7	product.product.list	List
project.view_task_partner_info_form	res.partner.form	res.partner	7	res.partner.task.buttons	Form
stock.stock_location_route_form_view		stock.route	7	stock.location.route.form	Form
analytic.view_account_analytic_account_list		account.analytic.account	8	account.analytic.account.list	List
website.external_snippets	snippets		8	external_snippets	QWeb
hr.view_employee_category_list		hr.employee.category	8	hr.employee.category.list	List
base.edit_menu		ir.ui.menu	8	ir.ui.menu list	List
product.product_template_attribute_line_form		product.template.attribute.line	8	product.template.attribute.line.form	Form
product.product_template_only_form_view	product.template.common.form	product.template	8	product.template.product.form	Form
helpdesk.view_partner_form_inherit_helpdesk	res.partner.form	res.partner	8	res.partner.form.inherit.helpdesk	Form
base.view_partner_tree		res.partner	8	res.partner.list	List
stock.view_move_tree		stock.move	8	stock.move.list	List
account.account_analytic_account_view_form_inherit	analytic.analytic.account.form	account.analytic.account	9	account.analytic.account.form.inherit	Form
sale.crm_team_salesteams_view_form	crm.team.form	crm.team	9	crm.team.form	Form
purchase.res_partner_view_purchase_buttons	res.partner.form	res.partner	9	res.partner.view.purchase.buttons	Form
purchase.account_analytic_account_view_form_purchase	analytic.analytic.account.form	account.analytic.account	10	account.analytic.account.form.purchase	Form
hr_timesheet.timesheet_view_form_portal_user	account.analytic.line.list.with.user	account.analytic.line	10	account.analytic.line.form	Form
hr_timesheet.timesheet_view_form_user	account.analytic.line.form	account.analytic.line	10	account.analytic.line.list.with.user	Form
hr_timesheet.timesheet_view_tree_user	account.analytic.line.list.hr_timesheet	account.analytic.line	10	account.analytic.line.view.list.with.user	List
account_accountant.view_bank_statement_form_bank_rec_widget		account.bank.statement	10	account.bank.statement.form.bank_rec_widget	Form
account.view_move_line_tree		account.move.line	10	account.move.line.list	List
account_batch_payment.view_account_payment_tree_popup_inherit_account_batch_payment	account.payment.list	account.payment	10	account.payment.list.popup.inherit.account_batch_payment	List
approvals.approval_category_view_search		approval.category	10	approval.category.search	Search
approvals.approval_category_view_form		approval.category	10	approval.category.view.form	Form
approvals.approval_category_view_tree		approval.category	10	approval.category.view.list	List
approvals.approval_product_line_view_tree_independent		approval.product.line	10	approval.product.line.view.list	List
approvals.approval_request_view_form		approval.request	10	approval.request.view.form	Form
approvals.approval_request_view_tree		approval.request	10	approval.request.view.list	List
crm.crm_case_tree_view_leads		crm.lead	10	crm.lead.list.lead	List
sales_team.crm_team_view_kanban_dashboard		crm.team	10	crm.team.view.kanban.dashboard	Kanban
sale_management.digest_digest_view_form	digest.digest.view.form	digest.digest	10	digest.digest.view.form.inherit.sale.order	Form
website_sale.digest_digest_view_form	digest.digest.view.form	digest.digest	10	digest.digest.view.form.inherit.website.sale.order	Form
mail.discuss_channel_view_form		discuss.channel	10	discuss.channel.form	Form
mail.discuss_channel_view_kanban		discuss.channel	10	discuss.channel.kanban	Kanban
mail.discuss_channel_view_tree		discuss.channel	10	discuss.channel.list	List
mail.discuss_channel_member_view_tree		discuss.channel.member	10	discuss.channel.member.list	List
mail.discuss_channel_view_search		discuss.channel	10	discuss.channel.search	Search
mail.discuss_gif_favorite_view_tree		discuss.gif.favorite	10	discuss.gif.favorite.list	List
helpdesk.helpdesk_ticket_view_kanban		helpdesk.ticket	10	helpdesk.ticket.kanban	Kanban
hr.hr_employee_public_view_kanban		hr.employee.public	10	hr.employee.kanban	Kanban
hr.hr_kanban_view_employees		hr.employee	10	hr.employee.kanban	Kanban
hr_contract.hr_hr_employee_view_form2	hr.employee.form	hr.employee	10	hr.hr.employee.view.form2	Form
mail.mail_activity_plan_view_form_fixed_model	mail.activity.plan.view.form	mail.activity.plan	10	mail.activity.plan.view.form.fixed.model	Form
mail.view_followers_tree		mail.followers	10	mail.followers.list	List
mail.mail_guest_view_tree		mail.guest	10	mail.guest.list	List
mail.mail_link_preview_view_tree		mail.link.preview	10	mail.link.preview.list	List
mail.mail_message_reaction_view_tree		mail.message.reaction	10	mail.message.reaction.list	List
mail.view_message_subtype_tree		mail.message.subtype	10	mail.message.subtype.list	List
mass_mailing.mailing_contact_view_pivot		mailing.contact	10	mailing.contact.pivot	Pivot
mass_mailing.mailing_contact_view_form		mailing.contact	10	mailing.contact.view.form	Form
mass_mailing.mailing_contact_view_graph		mailing.contact	10	mailing.contact.view.graph	Graph
mass_mailing.mailing_contact_view_tree		mailing.contact	10	mailing.contact.view.list	List
mass_mailing.mailing_list_view_tree		mailing.list	10	mailing.list.view.list	List
mass_mailing.view_mail_mass_mailing_tree		mailing.mailing	10	mailing.mailing.list	List
mass_mailing.mailing_subscription_optout_view_form		mailing.subscription.optout	10	mailing.subscription.optout.view.form	Form
mass_mailing.mailing_subscription_view_form		mailing.subscription	10	mailing.subscription.view.form	Form
project_forecast.planning_view_kanban	planning.slot.kanban	planning.slot	10	planning.slot.form	Kanban
hr_timesheet.view_kanban_account_analytic_line_portal_user	account.analytic.line.kanban	account.analytic.line	10	portal.account.analytic.line.kanban	Kanban
hr_timesheet.hr_timesheet_line_portal_tree	account.analytic.line.list.hr_timesheet	account.analytic.line	10	portal.hr_timesheet.account.analytic.line.list	List
product.product_pricelist_item_tree_view		product.pricelist.item	10	product.pricelist.item.list	List
product.product_template_tree_view		product.template	10	product.template.product.list	List
project_enterprise.project_project_view_gantt		project.project	10	project.project.view.gantt	Gantt
project.view_task_search_form	project.task.search.form.project.base	project.task	10	project.task.search.form	Search
project_enterprise.project_task_view_gantt		project.task	10	project.task.view.gantt	Gantt
hr_timesheet.project_task_view_search	project.task.search.form.project.base	project.task	10	project.task.view.search.inherit.sale.timesheet.enterprise	Search
project_purchase.view_order_form_inherit_project_purchase	purchase.order.form	purchase.order	10	purchase.order.form.purchase.project	Form
purchase.purchase_order_kpis_tree		purchase.order	10	purchase.order.inherit.purchase.order.list	List
quality_control.quality_point_view_tree	quality.point.view.list	quality.point	10	quality.point.view.list.inherit.quality.control	List
industry_fsm.project_task_user_view_graph	report.project.task.user.graph	report.project.task.user.fsm	10	report.project.task.user.graph	Graph
industry_fsm.project_task_user_view_pivot	report.project.task.user.pivot	report.project.task.user.fsm	10	report.project.task.user.pivot	Pivot
documents_spreadsheet.res_config_settings_view_form_inherit_documents_spreadsheet	res.config.settings.view.form.inherit.documents	res.config.settings	10	res.config.settings.view.form.inherit.documents.spreadsheet	Form
sale.res_config_settings_view_form	res.config.settings.view.form	res.config.settings	10	res.config.settings.view.form.inherit.sale	Form
website_slides_survey.res_config_settings_view_form	res.config.settings.view.form.inherit.website.slides	res.config.settings	10	res.config.settings.view.form.inherit.website.slides.survey	Form
crm.crm_lead_partner_kanban_view	res.partner.kanban	res.partner	10	res.partner.kanban.inherit	Kanban
sms.res_partner_view_form	res.partner.form	res.partner	10	res.partner.view.form.inherit.sms	Form
calendar.res_partner_kanban_view	res.partner.kanban	res.partner	10	res.partner.view.kanban.calendar	Kanban
mail.res_users_settings_view_tree		res.users.settings	10	res.users.settings.list	List
sale_project.view_order_form_inherit_sale_project	sale.order.form	sale.order	10	sale.order.form.sale.project	Form
stock.view_move_kandan		stock.move	10	stock.move.kanban	Kanban
stock.view_production_lot_form		stock.lot	10	stock.production.lot.form	Form
stock.view_stock_quant_tree_inventory_editable		stock.quant	10	stock.quant.inventory.list.editable	List
stock.view_stock_quant_tree_simple		stock.quant	10	stock.quant.list	List
stock.view_stock_quant_tree	stock.quant.list	stock.quant	10	stock.quant.list	List
stock.view_quant_package_form		stock.quant.package	10	stock.quant.package.form	Form
stock.view_quant_package_tree		stock.quant.package	10	stock.quant.package.list	List
stock.quant_package_search_view		stock.quant.package	10	stock.quant.package.search	Search
stock.quant_search_view		stock.quant	10	stock.quant.search	Search
utm.utm_stage_view_tree		utm.stage	10	utm.stage.view.list	List
worksheet.worksheet_template_view_form		worksheet.template	10	worksheet.template.view.form	Form
stock.view_stock_quant_form_editable		stock.quant	11	stock.quant.form.editable	Form
crm.sales_team_form_view_in_crm	crm.team.form	crm.team	12	crm.team.form.inherit	Form
mail.view_mail_tracking_value_tree		mail.tracking.value	12	mail.tracking.value.list	List
project_enterprise.project_task_map_view		project.task	12	project.task.view.map	Map
project_enterprise.project_task_map_view_no_title		project.task	12	project.task.view.map	Map
purchase.res_partner_view_purchase_account_buttons	res.partner.form	res.partner	12	res.partner.view.purchase.account.buttons	Form
stock.view_picking_form		stock.picking	12	stock.picking.form	Form
frontdesk.frontdesk_visitor_view_graph		frontdesk.visitor	14	frontdesk.visitor.view.graph	Graph
account.view_partner_bank_form_inherit_account	res.partner.bank.form	res.partner.bank	14	res.partner.bank.form.inherit.account	Form
mail_group.portal_breadcrumbs_group	Portal Breadcrumbs		15	Portal layout : mail group menu entry	QWeb
approvals.approval_product_kanban_mobile_view		approval.product.line	15	approval.product.kanban.mobile	Kanban
approvals.approval_product_line_view_tree		approval.product.line	15	approval.product.line.view.list	List
crm.view_crm_case_opportunities_filter		crm.lead	15	crm.lead.search.opportunity	Search
website_enterprise.external_snippets	snippets		15	external_snippets	QWeb
helpdesk.helpdesk_tickets_view_search	helpdesk.ticket.search.base	helpdesk.ticket	15	helpdesk.ticket.search	Search
stock.product_template_form_view_procurement_button	product.template.product.form	product.template	15	product.template_procurement	Form
pos_enterprise.res_config_settings_view_form	res.config.settings.view.form.inherit.point_of_sale	res.config.settings	15	res.config.settings.view.form.inherit.pos_enterprise	Form
base.view_partner_bank_form		res.partner.bank	15	res.partner.bank.form	Form
mail_bot_hr.res_users_view_form_simple_modif	res.users.preferences.form.simplified.inherit	res.users	15	res.users.preferences.form.simplified.inherit	Form
sale.view_sales_order_filter		sale.order	15	sale.order.list.select	Search
payment.view_partners_form_payment_defaultcreditcard	res.partner.form	res.partner	15	view.res.partner.form.payment.defaultcreditcard	Form
http_routing.400			16	400	QWeb
http_routing.403			16	403	QWeb
http_routing.500			16	500	QWeb
base.form_res_users_key_description		res.users.apikeys.description	16	API Key: description input form	Form
base.form_res_users_key_show		res.users.apikeys.show	16	API Key: show	Form
base.view_apikeys		res.users.apikeys	16	API Keys Listing	List								Administration / Settings
website.aboutus			16	About Us	QWeb
website_profile.profile_access_denied			16	Access Denied - Profile Page	QWeb
website_sale.suggested_products_list	Shopping Cart Lines		16	Accessory Products in my cart	QWeb
website.s_accordion			16	Accordion	QWeb
website.s_accordion_image			16	Accordion Image	QWeb
website_sale.product_accordion			16	Accordion On Product Page	QWeb
sale.account_invoice_form	account.move.form	account.move	16	Account Invoice	Form
account.account_terms_conditions_setting_banner			16	Account Terms and Conditions Setting Banner	QWeb
website_slides.achievement_card			16	Achivement Card	QWeb
mail.mail_activity_schedule_view_form		mail.activity.schedule	16	Activity schedule	Form
mail.mail_wizard_invite_form		mail.wizard.invite	16	Add Followers	Form
iot.view_add_iot_box		add.iot.box	16	Add IoT box	Form
website_sale.s_add_to_cart			16	Add to Cart Button	QWeb
website_sale.address			16	Address Management	QWeb
website_sale.address_on_payment			16	Address on payment	QWeb
website.s_adventure			16	Adventure	QWeb
website.s_alert			16	Alert	QWeb
mass_mailing.s_alert			16	Alert	QWeb
auth_signup.alert_login_new_device			16	Alert Login with new Device	QWeb
website_profile.all_user_card			16	All User Card	QWeb
website_sale.alternative_products	Product		16	Alternative Products	QWeb
		hr.timesheet.attendance.report	16	Analytic Line	QWeb	Analytic Line	TRUE		Analytic Line	16	Analytic Line	primary
records_management.analytics_dashboard			16	Analytics Dashboard	QWeb
website.list_hybrid			16	Any Search Results	QWeb
appointment.appointment_calendar			16	Appointment	QWeb
website_appointment.website_calendar_index			16	Appointment	QWeb
website_appointment.s_online_appointment			16	Appointment	QWeb
appointment_account_payment.appointment_payment			16	Appointment Payment Providers	QWeb
website_appointment.snippet_options	snippet_options		16	Appointment Snippet Options	QWeb
appointment.appointments_list_layout			16	Appointment Types	QWeb
website_appointment.appointments_cards_layout			16	Appointment Types	QWeb
appointment.appointment_validated_card			16	Appointment Validated: User / Resource Card	QWeb
appointment.appointment_edit_in_backend			16	Appointment portal preview alert	QWeb
appointment.appointment_info			16	Appointment: Appointment Info	QWeb
website_appointment.appointment_info	Appointment: Appointment Info		16	Appointment: Appointment Info	QWeb
website_appointment.appointment_select_operator			16	Appointment: Appointment Operators	QWeb
website_appointment.appointments_list_layout	Appointment Types		16	Appointment: Appointments List Layout	QWeb
appointment.appointment_progress_bar			16	Appointment: Progress Bar	QWeb
appointment.portal_my_home_appointment	My Portal		16	Appointments	QWeb
website_appointment.s_appointments			16	Appointments	QWeb
website_appointment.appointments_cards			16	Appointments Cards	QWeb
website_appointment.s_appointments_preview_data			16	Appointments Preview Data	QWeb
base_import_module.module_form_apps_inherit	ir.module.module.form	ir.module.module	16	Apps	Form
base.module_view_kanban		ir.module.module	16	Apps Kanban	Kanban
base_import_module.module_view_kanban_apps_inherit	Apps Kanban	ir.module.module	16	Apps Kanban Data Modules	Kanban
base_import_module.module_tree_apps_inherit	ir.module.module.list	ir.module.module	16	Apps List Data Modules	List
portal.signature_form			16	Ask Signature	QWeb
mail.mail_attachment_links			16	Attachment links	QWeb
hr_attendance.public_kiosk_mode			16	Attendance Kiosk	QWeb
website_sale.products_attributes	Products		16	Attributes & Variants filters	QWeb
auth_signup.fields			16	Auth Signup/ResetPassword form fields	QWeb
website_sale.product_picture_magnify_hover	Product		16	Automatic Image Zoom	QWeb
base_automation.view_base_automation_form		base.automation	16	Automations	Form
account.autopost_bills_wizard		account.autopost.bills.wizard	16	Autopost Bills	Form
website_appointment.appointment_booking_resource_description			16	Avatars	QWeb
portal.portal_back_in_edit_mode			16	Back to edit mode	QWeb
website.s_badge			16	Badge	QWeb
website_sale.badge_extra_price			16	Badge Extra Price	QWeb
gamification.badge_form_view		gamification.badge	16	Badge Form	Form
gamification.badge_kanban_view		gamification.badge	16	Badge Kanban View	Kanban
gamification.badge_list_view		gamification.badge	16	Badge List	List
gamification.badge_user_kanban_view		gamification.badge.user	16	Badge User Kanban View	Kanban
website_profile.badge_content			16	Badges Page content	QWeb
website.s_banner			16	Banner	QWeb
barcodes.view_barcode_nomenclature_form		barcode.nomenclature	16	Barcode Nomenclatures	Form
barcodes.view_barcode_nomenclature_tree		barcode.nomenclature	16	Barcode Nomenclatures	List
barcodes_gs1_nomenclature.view_barcode_gs1_nomenclature_form	Barcode Nomenclatures	barcode.nomenclature	16	Barcode Nomenclatures	Form
barcodes_gs1_nomenclature.view_barcode_gs1_nomenclature_tree	Barcode Nomenclatures	barcode.nomenclature	16	Barcode Nomenclatures	List
barcodes.view_barcode_rule_form		barcode.rule	16	Barcode Rule	Form
barcodes_gs1_nomenclature.view_barcode_gs1_rule_form	Barcode Rule	barcode.rule	16	Barcode Rule	Form
website.s_color_blocks_2			16	Big Boxes	QWeb
mass_mailing.s_color_blocks_2			16	Big Boxes	QWeb
website.s_big_number			16	Big number	QWeb
website.view_edit_third_party_domains		website.custom_blocked_third_party_domains	16	Block 3rd-party service domains	Form
website.s_blockquote			16	Blockquote	QWeb
mass_mailing.s_blockquote			16	Blockquote	QWeb
website_sale.dynamic_filter_template_product_product_borderless_1			16	Borderless Product n°1	QWeb
website_sale.dynamic_filter_template_product_product_borderless_2			16	Borderless Product n°2	QWeb
website.s_cta_box			16	Box Call to Action	QWeb
web.brand_promotion			16	Brand Promotion	QWeb
website.brand_promotion	Brand Promotion		16	Brand Promotion	QWeb
web.brand_promotion_message			16	Brand Promotion Message	QWeb
mass_mailing.mailing_view			16	Browser View	QWeb
website.s_button			16	Button	QWeb
website.s_cta_badge			16	CTA Badge	QWeb
calendar.invitation_page_anonymous			16	Calendar Invitation Page for anonymous users	QWeb
website.s_call_to_action			16	Call to Action	QWeb
mass_mailing.s_call_to_action			16	Call to Action	QWeb
website.s_cta_mockups			16	Call to Action Mockups	QWeb
	Main layout		16	Call-to-Action	QWeb
website.s_card			16	Card	QWeb
website.s_cta_card			16	Card Call to Action	QWeb
website_appointment.opt_appointments_list_cards	Appointment		16	Card Design	QWeb
website.s_card_offset			16	Card Offset	QWeb
website_sale.dynamic_filter_template_product_product_card_group			16	Card group	QWeb
website_appointment.dynamic_filter_template_appointment_type_card			16	Card layout	QWeb
website.s_cards_grid			16	Cards Grid	QWeb
website.s_cards_soft			16	Cards Soft	QWeb
website.s_carousel			16	Carousel	QWeb
website.s_carousel_intro			16	Carousel Intro	QWeb
website_sale.carousel_product_indicators			16	Carousel Product	QWeb
website_sale.carousel_product_indicators_bottom	Shop Product Carousel		16	Carousel Product Indicators Bottom	QWeb
website_sale.filmstrip_categories			16	Categories Filmstrip	QWeb
website_sale.products_categories_top			16	Categories in top-nav	QWeb
website_sale.categorie_link			16	Category Link	QWeb
website_slides.slide_aside_training_category			16	Category item for the slide detailed view list	QWeb
website_sale.categories_recursive			16	Category list	QWeb
mass_mailing.s_mail_block_header_logo			16	Centered Logo	QWeb
website_sale.dynamic_filter_template_product_product_centered			16	Centered Product	QWeb
records_management.portal_certificate_detail			16	Certificate of Destruction	QWeb
website_slides_survey.course_main	Course Main		16	Certification Course Main	QWeb
gamification.challenge_form_view		gamification.challenge	16	Challenge Form	Form
gamification.view_challenge_kanban		gamification.challenge	16	Challenge Kanban	Kanban
gamification.challenge_search_view		gamification.challenge	16	Challenge Search	Search
gamification.challenge_line_list_view		gamification.challenge.line	16	Challenge line list	List
gamification.challenge_list_view		gamification.challenge	16	Challenges List	List
base.change_password_own_form		change.password.own	16	Change Own Password	Form
base.change_password_wizard_view		change.password.wizard	16	Change Password	Form
base.change_password_wizard_user_tree_view		change.password.user	16	Change Password Users	List
stock.view_change_product_quantity		stock.change.product.qty	16	Change Product Quantity	Form
website.s_chart			16	Chart	QWeb
			16	Checkout Extra Info	QWeb
website_sale.checkout_layout			16	Checkout layout page	QWeb
website_sale.dynamic_filter_template_product_product_add_to_cart			16	Classic Card	QWeb
website_sale.dynamic_filter_template_product_product_view_detail			16	Classic Card - Detailed	QWeb
base.view_client_action_tree		ir.actions.client	16	Client Actions	List
website.s_closer_look			16	Closer Look	QWeb
	Banner		16	Cobalt s_banner	QWeb
	Call to Action		16	Cobalt s_call_to_action	QWeb
	Carousel		16	Cobalt s_carousel	QWeb
	Carousel Intro		16	Cobalt s_carousel_intro	QWeb
	Big Boxes		16	Cobalt s_color_blocks_2	QWeb
	Team Shapes		16	Cobalt s_company_team_shapes	QWeb
	Cover		16	Cobalt s_cover	QWeb
	Image - Text		16	Cobalt s_image_text	QWeb
	Image Title		16	Cobalt s_image_title	QWeb
	Key Images		16	Cobalt s_key_images	QWeb
	Title - Image		16	Cobalt s_picture	QWeb
	Pricelist Boxed		16	Cobalt s_pricelist_boxed	QWeb
	Quotes		16	Cobalt s_quotes_carousel	QWeb
	References		16	Cobalt s_references	QWeb
	Text - Image		16	Cobalt s_text_image	QWeb
	Columns		16	Cobalt s_three_columns	QWeb
	Title		16	Cobalt s_title	QWeb
website_sale.option_collapse_categories_recursive			16	Collapse Category Recursive	QWeb
website_sale.products_attributes_collapsible	Attributes & Variants filters		16	Collapsed Attributes & Variants filters	QWeb
website_sale.products_categories_list_collapsible	eCommerce Categories		16	Collapsed eCommerce Categories	QWeb
website_sale.o_wsale_offcanvas_color_attribute			16	Color type attribute in filter	QWeb
web_editor.colorpicker			16	Color-Picker	QWeb								User types / Internal User
													User types / Portal
website.s_three_columns			16	Columns	QWeb
mass_mailing.s_three_columns			16	Columns	QWeb
payment.company_mismatch_warning			16	Company Mismatch Warning	QWeb
website.s_comparisons			16	Comparisons	QWeb
mass_mailing.s_comparisons			16	Comparisons	QWeb
base.ir_actions_todo_tree		ir.actions.todo	16	Config Wizard Steps	List
base.config_wizard_step_view_form		ir.actions.todo	16	Config Wizard Steps	Form
account.validate_account_move_view		validate.account.move	16	Confirm Entries	Form
portal.portal_contact			16	Contact	QWeb
		cross.department.sharing	16	Contact	QWeb	Contact	TRUE	[]	Contact	16	Contact	primary
website_crm.contactus_form	Contact Us		16	Contact Form (Opportunity)	QWeb
website.s_contact_info			16	Contact Info	QWeb
base.view_partner_category_form		res.partner.category	16	Contact Tags	Form
